title,year,imdbid
The Do-Over,,tt4769836
The Ridiculous 6,,tt2479478
Pixels,,tt2120120
Hotel Transylvania 2,,tt2510894
The Cobbler,,tt3203616
Blended,,tt1086772
Grown Ups 2,,tt2191701
That's My Boy,,tt1232200
Jack and Jill,,tt0810913
Just Go with It,,tt1564367
Grown Ups,,tt1375670
Funny People,,tt1201167
You Don't Mess with the Zohan,,tt0960144
Bedtime Stories,,tt0960731
I Now Pronounce You Chuck & Larry,,tt0762107
Reign Over Me,,tt0490204
Click,,tt0389860
Deuce Bigalow: European Gigolo,,tt0367652
The Longest Yard,,tt0398165
Spanglish,,tt0371246
50 First Dates,,tt0343660
Anger Management,,tt0305224
Pauly Shore Is Dead,,tt0284674
Eight Crazy Nights,,tt0271263
The Hot Chick,,tt0302640
Punch-Drunk Love,,tt0272338
Mr. Deeds,,tt0280590
The Animal,,tt0255798
Little Nicky,,tt0185431
Deuce Bigalow: Male Gigolo,,tt0205000
Big Daddy,,tt0142342
The Wedding Singer,,tt0120888
The Waterboy,,tt0120484
Bulletproof,,tt0115783
Happy Gilmore,,tt0116483
Billy Madison,,tt0112508
Mixed Nuts,,tt0110538
Airheads,,tt0109068
Coneheads,,tt0106598
Happy Death Day 2U,,tt8155288
Vice,,tt6266538
The Mule,,tt7959026
Can You Ever Forgive Me?,,tt4595882
Cold Pursuit,,tt5719748
Night School,,tt6781982
Avengers: Infinity War,,tt4154756
Close,,tt5316540
Mission: Impossible - Fallout,,tt4912910
The Martian,,tt3659388
Passengers,,tt1355644
