2020-01-26 03:59:59,078 [INFO ]  Downloading Radarr Movie Data
2020-01-26 03:59:59,083 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:07,129 [DEBUG]  https://cloud.kdata.net.au:443 "GET /radarr/api/movie HTTP/1.1" 200 None
2020-01-26 04:00:07,329 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:08,718 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/5192?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:08,721 [INFO ]  Carl Barron: A One Ended Stick (2013) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:08,725 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:09,428 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/7233?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:09,431 [INFO ]  One Magic Christmas (1985) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:09,442 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:18,810 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/8134?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:18,813 [INFO ]  The VelociPastor (2018) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:18,817 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
2020-01-26 04:00:19,463 [DEBUG]  https://cloud.kdata.net.au:443 "DELETE /radarr/api/movie/8709?deleteFiles=false&addExclusion=true HTTP/1.1" 200 None
2020-01-26 04:00:19,465 [INFO ]  Bride Wars (2009) Has been downloaded, Removing from Radarr...
2020-01-26 04:00:19,470 [DEBUG]  Starting new HTTPS connection (1): cloud.kdata.net.au:443
